id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
4817571,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:57:34.120815+00,45572,1,t,12569,-336290949,1111111111111111
4817572,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:57:34.142883+00,45572,0,t,12570,-336290927,1111111101111111
4817573,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:57:34.632381+00,45572,1,t,12571,-336290437,1111111111111111
4817574,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:57:35.105916+00,45572,0,t,12574,-336289964,1111111101111111
4817575,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:57:36.11091+00,45571,0,t,12575,-336288959,1111111100111111
4817579,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:57:43.179976+00,45572,1,t,12576,-336281890,1111111110111111
4817580,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:57:47.645507+00,45571,1,t,12577,-336277424,1111111111111111
4817670,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:58:46.223775+00,45598,0,t,3906,-1629526499,1111111111111011
4817696,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:59:23.815418+00,45598,1,t,3907,-1629488907,1111111111111111
4817732,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:59:47.339495+00,45574,0,t,12578,-336157731,1111110111111111
4817749,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:59:51.692869+00,45573,0,t,12579,-336153377,1111110011111111
4817750,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:59:52.79693+00,45574,1,t,12580,-336152273,1111111011111111
4817752,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:00:02.889081+00,45573,1,t,12581,-336142181,1111111111111111
4817768,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:00:43.648351+00,45598,0,t,3908,-1629409074,1111111111111011
