,id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
1286,4832546,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:53:54.27016+00,45599,0,t,3960,-1615418473,1111111111110111
1287,4832565,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:54:04.518365+00,45599,1,t,3961,-1615408224,1111111111111111
1288,4832601,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:54:08.532342+00,45571,1,t,12696,-322096572,1111111101111111
1289,4832604,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:54:08.712553+00,10-0,0,t,12697,-322096391,1111111101111110
1290,4832610,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:54:13.041922+00,45566,0,t,12698,-322092062,1111111101111100
1291,4832615,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:54:14.146097+00,10-0,1,t,12700,-322090958,1111111111111101
1292,4832616,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:54:14.146097+00,45572,1,t,12700,-322090958,1111111111111101
1293,4832618,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:54:13.098935+00,10-0,0,t,12699,-322092005,1111111111111100
1294,4832698,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:54:41.837819+00,45597,0,t,3962,-1615370905,1111111111111101
1295,4832708,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:54:52.001928+00,45597,1,t,3963,-1615360741,1111111111111111
1296,4832720,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:55:01.5605+00,10-0,1,t,12701,-322043543,1111111111111111
1297,4832721,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:55:01.5605+00,45566,1,t,12701,-322043543,1111111111111111
1298,4832765,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:55:35.861925+00,45601,0,t,3964,-1615316881,1111111111011111
1299,4832766,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:55:40.801844+00,45571,0,t,12702,-322004302,1111111110111111
